Gene	Cytoband	(A) NON-SARIFA	(B) SARIFA	Log Ratio	p-Value	q-Value	Enriched in
ATP2C1	3q22.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
ATP4B	13q34	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
B4GALT7	5q35.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
BCL6B	17p13.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
BIRC2	11q22.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
BLMH	17q11.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
BMX	Xp22.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
BSDC1	1p35.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
BTBD17	17q25.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
BTN2A2	6p22.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
BUB1	2q13	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
BUD13	11q23.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
C17ORF97	17p13.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
C18ORF25	18q21.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
C1ORF43	1q21.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
C2CD4D	1q21.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
C2CD4D-AS1	1q21.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
CACNG6	19q13.42	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
CBR1	21q22.12	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
CCDC191	3q13.31	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
CCKAR	4p15.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
CCL19	9p13.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
CCL2	17q12	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
CCL23	17q12	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
CCL27	9p13.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
CCNB2	15q22.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
CCR3	3p21.31	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
CD6	11q12.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
CDC42EP1	22q13.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
CDCP1	3p21.31	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
CDKN1A	6p21.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
CENPC	4q13.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
CEP97	3q12.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
CFAP300	11q22.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
CFDP1	16q23.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
CH25H	10q23.31	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
CHRDL2	11q13.4	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
CHRNG	2q37.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
CIP2A	3q13.13	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
CKAP4	12q23.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
CLASP1	2q14.2-q14.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
CLDN5	22q11.21	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
CLN3	16p12.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
COX4I1	16q24.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
CRTC1	19p13.11	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
CRYBB1	22q12.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
CUEDC1	17q22	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
CUL4A	13q34	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
CYP17A1	10q24.32	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
D2HGDH	2q37.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
DBN1	5q35.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
DBNL	7p13	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
DCAF4	14q24.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
DCAF7	17q23.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
DCTN3	9p13.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
DGAT2	11q13.5	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
DGAT2-DT	11q13.5	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
DHRS11	17q12	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
DHRS12	13q14.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
DHRS7	14q23.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
DLL4	15q15.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
DLX3	17q21.33	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
DNAAF2	14q21.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
DNAI1	9p13.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
DNAJC10	2q32.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
DNAJC15	13q14.11	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
DNAJC9-AS1	10q22.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
DRD2	11q23.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
DSC1	18q12.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
DYM	18q21.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
EFNA4	1q21.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
EFNB2	13q33.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
EIF2AK2	2p22.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
EIPR1	2p25.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
ELOA3P	18q21.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
ELOVL2	6p24.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
ENDOG	9q34.11	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
ENG	9q34.11	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
ENHO	9p13.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
ENTR1	9q34.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
EOLA1	Xq28	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
EPN2	17p11.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
ERAP2	5q15	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
ERCC3	2q14.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
ERCC6L	Xq13.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
ETAA1	2p14	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
FAF2	5q35.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
FALEC	1q21.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
FAM124A	13q14.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
FAM135A	6q13	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
FAM149B1	10q22.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
FAM221B	9p13.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
FAM81B	5q15	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
FAP	2q24.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
FASTKD5	20p13	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
FBLN1	22q13.31	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
FCGR2A	1q23.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
FEM1C	5q22.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
FHOD1	16q22.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
FIZ1	19q13.42	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
FKTN	9q31.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
FMC1-LUC7L2	7q34	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
FNBP1	9q34.11	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
FOXL1	16q24.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
FOXS1	20q11.21	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
FRMD4A	10p13	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
FSCN3	7q32.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
GABRR1	6q15	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
GAL3ST2	2q37.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
GARIN1B	7q32.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
GARIN3	5q33.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
GART	21q22.11	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
GCM2	6p24.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
GH1	17q23.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
GLIPR1L2	12q21.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
GNAQ	9q21.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
GNL2	1p34.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
GNPAT	1q42.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
GOLGA7	8p11.21	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
GP2	16p12.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
GPLD1	6p22.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
GRHL3	1p36.11	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
GRPR	Xp22.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
GSG1L	16p12.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
H1-3	6p22.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
HAO2	1p12	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
HCG17	6p22.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
HCG18	6p22.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
HCRTR1	1p35.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
HLA-L	6p22.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
HLTF	3q24	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
HOOK1	1p32.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
HOXA10	7p15.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
HOXA7	7p15.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
HPSE	4q21.23	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
HRCT1	9p13.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
HRH2	5q35.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
HS3ST1	4p15.33	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
HSDL1	16q24.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
HSPA4L	4q28.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
HSPA8	11q24.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
HYAL2	3p21.31	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
ICAM5	19p13.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
IER5L	9q34.11	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
IFIT2	10q23.31	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
IFNAR1	21q22.11	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
IFNAR2	21q22.11	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
IFT74	9p21.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
IHH	2q35	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
IL24	1q32.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
ILF3	19p13.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
INPP5E	9q34.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
INSC	11p15.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
IP6K2	3p21.31	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
ITIH2	10p14	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
KATNAL2	18q21.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
KCNK16	6p21.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
KCNRG	13q14.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
KCTD2	17q25.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
KHDC1	6q13	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
KIAA0513	16q24.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
KIAA1586	6p12.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
KIF26A	14q32.33	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
KLHL8	4q22.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
KRT18	12q13.13	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
LCE1A	1q21.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
LCE1F	1q21.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
LCK	1p35.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
LINC01299	8q13.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
LINC01310	22q13.32	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
LMOD3	3p14.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
LPAR6	13q14.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
LRCH2	Xq23	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
LRPPRC	2p21	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
LUZP4	Xq23	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
LY9	1q23.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
LYZL2	10p11.23	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
MAGED2	Xp11.21	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
MALSU1	7p15.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
MAP1LC3C	1q43	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
MAP3K20	2q31.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
MAP7D2	Xp22.12	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
MARK3	14q32.32-q32.33	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
MARVELD2	5q13.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
MCAT	22q13.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
MCHR1	22q13.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
MED25	19q13.33	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
METTL2A	17q23.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
MGAT4C	12q21.31-q21.32	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
MGAT5B	17q25.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
MGRN1	16p13.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
MLXIP	12q21.31	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
MMP7	11q22.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
MMS19	10q24.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
MPND	19p13.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
MPV17	2p23.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
MPZ	1q23.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
MTHFSD	16q24.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
MYL2	12q24.11	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
N4BP2L1	13q13.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
NCK1	3q22.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
NDUFS7	19p13.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
NDUFV2	18p11.22	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
NOB1	16q22.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
NOC4L	12q24.33	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
NOTUM	17q25.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
NPHP3	3q22.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
NPTX1	17q25.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
NR1I3	1q23.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
NRAS	1p13.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
NT5C1A	1p34.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
NUBP2	16p13.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
NUP88	17p13.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
NXPE3	3q12.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
OBI1	13q31.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
ODAD3	19p13.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
OR10C1	6p22.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
OR10G7	11q24.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
OR11H4	14q11.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
OR1L3	9q33.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
OR2H2	6p22.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
OR2S2	9p13.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
OR4K13	14q11.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
OR5B2	11q12.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
OR5H1	3q11.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
OR6C75	12q13.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
OR8B2	11q24.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
OSBPL10	3p23	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
OSM	22q12.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
P2RX2	12q24.33	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
P2RY10	Xq21.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
PAPOLA	14q32.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
PAX2	10q24.31	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
PCK2	14q11.2-q12	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
PCSK1	5q15	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
PDE8B	5q13.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
PDGFRB	5q32	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
PDLIM4	5q31.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
PELP1	17p13.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
PEX12	17q12	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
PGGT1B	5q22.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
PGLYRP4	1q21.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
PHF1	6p21.32	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
PHKA1	Xq13.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
PHOX2B	4p13	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
PLD6	17p11.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
PLPPR3	19p13.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
PM20D1	1q32.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
PMPCA	9q34.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
PNLIPRP2	10q25.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
PNMA8B	19q13.32	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
POLDIP3	22q13.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
POLR3D	8p21.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
POU3F4	Xq21.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
PPARA	22q13.31	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
PPARGC1A	4p15.2	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
PPIL4	6q25.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
PPP1R15B	1q32.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
